cardname,cardtext,mana,atk,def,dmg,heal,catk,to
Pint-Sized Summoner,The first minion you play each turn costs (1) less.,2,2,2,,,,
Polymorph,Transform a minion into a 1/1 Sheep.,4,0,0,,,,
Preparation,The next spell you cast this turn costs (3) less.,0,0,0,,,,
Questing Adventurer,"Whenever you play a card, gain +1/+1.",3,2,2,,,,
Raging Worgen,Enrage: Windfury and +1 Attack,3,3,3,,,1,
Raid Leader,Your other minions have +1 Attack.,3,2,2,,,1,
Ravenholdt Assassin,Stealth,7,7,5,,,,
Razorfen Hunter,Battlecry: Summon a 1/1 Boar.,3,2,3,,,,
Reckless Rocketeer,Charge,6,5,2,,,,
River Crocolisk,N/A,2,2,3,,,,
Sap,Return an enemy minion to your opponent's hand.,2,0,0,,,,
Savannah Highmane,Deathrattle: Summon two 2/2 Hyenas.,6,6,5,,,,
Scarlet Crusader,Divine Shield,3,3,1,,,,
Scavenging Hyena,"Whenever a friendly Beast dies, gain +2/+1.",2,2,2,,,,
Sea Giant,Costs (1) less for each other minion on the battlefield.,10,8,8,,,,
Secretkeeper,"Whenever a Secret is played, gain +1/+1.",1,1,2,,,,
Sen'jin Shieldmasta,Taunt,4,3,5,,,,
Sense Demons,Put 2 random Demons from your deck into your hand.,3,0,0,,,,
Shadow Madness,Gain control of an enemy minion with 3 or less Attack until end of turn.,4,0,0,,,,
Shadow Word: Death,Destroy a minion with an Attack of 5 or more.,3,0,0,,,,
Shadow Word: Pain,Destroy a minion with 3 or less Attack.,2,0,0,,,,
Shadowflame,Destroy a friendly minion and deal its Attack damage to all enemy minions.,4,0,0,,,,
Shadowstep,Return a friendly minion to your hand. It costs (2) less.,0,0,0,,,,
Shield Block,Gain 5 Armor.  Draw a card.,3,0,0,,5,,"you, hero"
Shieldbearer,Taunt,1,0,4,,,,
Silence,Silence a minion.,0,0,0,,,,
Silver Hand Knight,Battlecry: Summon a 2/2 Squire.,5,4,4,,,,
Silverback Patriarch,Taunt,3,1,4,,,,
Silvermoon Guardian,Divine Shield,4,3,3,,,,
Snake Trap,"Secret: When one of your minions is attacked, summon three 1/1 Snakes.",2,0,0,,,,
Sorcerer's Apprentice,Your spells cost (1) less.,2,3,2,,,,
Southsea Captain,Your other Pirates have +1/+1.,3,3,3,,1,1,"you, pirates"
Southsea Deckhand,Has Charge while you have a weapon equipped.,1,2,1,,,,
Spellbender,,0,1,3,,,,
Spellbender,"Secret: When an enemy casts a spell on a minion, summon a 1/3 as the new target.",3,0,0,,,,
Spellbreaker,Battlecry: Silence a minion.,4,4,3,,,,
Spiteful Smith,Enrage: Your weapon has +2 Attack.,5,4,6,,,,
Sprint,Draw 4 cards.,7,0,0,,,,
Stampeding Kodo,Battlecry: Destroy a random enemy minion with 2 or less Attack.,5,3,5,,,,
Starving Buzzard,"Whenever you summon a Beast, draw a card.",2,2,1,,,,
Stonetusk Boar,Charge,1,1,1,,,,
Stormforged Axe,Overload: (1),2,2,3,,,,
Stormwind Champion,Your other minions have +1/+1.,7,6,6,,1,1,"you, all, min"
Stormwind Knight,Charge,4,2,5,,,,
Stranglethorn Tiger,Stealth,5,5,5,,,,
Sunwalker,Taunt. Divine Shield,6,4,5,,,,
Sylvanas Windrunner,Deathrattle: Take control of a random enemy minion.,6,5,5,,,,
Tauren Warrior,Taunt. Enrage: +3 Attack,3,2,3,,,,
The Black Knight,Battlecry: Destroy an enemy minion with Taunt.,6,4,5,,,,
Thoughtsteal,Copy 2 cards from your opponent's deck and put them into your hand.,3,0,0,,,,
Timber Wolf,Your other Beasts have +1 Attack.,1,1,1,,,1,
Tinkmaster Overspark,Battlecry: Transform a minion into a 5/5 Devilsaur or a 1/1 Squirrel at random.,3,2,2,,,,
Tirion Fordring,Divine Shield. Taunt. Deathrattle: Equip a 5/3 Ashbringer.,8,6,6,,,,
Tracking,Look at the top three cards of your deck. Draw one and discard the others.,1,0,0,,,,
Tundra Rhino,Your Beasts have Charge.,5,2,5,,,,
Twisting Nether,Destroy all minions.,8,0,0,,,,
Unbound Elemental,"Whenever you play a card with Overload, gain +1/+1.",3,2,4,,,,
Unleash the Hounds,"For each enemy minion, summon a 1/1 Hound with Charge.",2,0,0,,,,
Vanish,Return all minions to their owner's hand.,6,0,0,,,,
Vaporize,"Secret: When a minion attacks your hero, destroy it.",3,0,0,,,,
Venture Co. Mercenary,Your minions cost (3) more.,5,7,6,,,,
Violet Teacher,"Whenever you cast a spell, summon a 1/1 Violet Apprentice.",4,3,5,,,,
Voidwalker,Taunt,1,1,3,,,,
Water Elemental,Freeze any character damaged by this minion.,4,3,6,,,,
Wild Growth,Gain an empty Mana Crystal.,2,0,0,,,,
Windfury Harpy,Windfury,6,4,5,,,,
Wolfrider,Charge,3,3,1,,,,
Worgen Infiltrator,Stealth,1,2,1,,,,
Young Dragonhawk,Windfury,1,1,1,,,,
Ysera,"At the end of your turn, draw a Dream Card.",9,4,12,,,,
Youthful Brewmaster,Battlecry: Return a friendly minion from the battlefield to your hand.,2,3,2,,,,
Injured Blademaster,Battlecry: Deal 4 damage to HIMSELF.,3,4,7,4,,,self
Imp Master,"At the end of your turn, deal 1 damage to this minion and summon a 1/1 Imp.",3,1,5,,,,
